PR_URL,JDK_VERSION
https://github.com/jenkinsci/typetalk-plugin/pull/109,17
https://github.com/jenkinsci/uleska-plugin/pull/18,17
https://github.com/jenkinsci/upload-build-to-sofy-plugin/pull/24,17
https://github.com/jenkinsci/upload-pgyer-plugin/pull/14,17
https://github.com/jenkinsci/variables-replace-plugin/pull/5,17
https://github.com/jenkinsci/vdoo-vision-plugin/pull/6,17
https://github.com/jenkinsci/visualworks-store-plugin/pull/10,17
https://github.com/jenkinsci/visualworks-store-plugin/pull/11,17
https://github.com/jenkinsci/visualworks-store-plugin/pull/7,17
https://github.com/jenkinsci/visualworks-store-plugin/pull/8,17
https://github.com/jenkinsci/visualworks-store-plugin/pull/9,17
https://github.com/jenkinsci/vstestrunner-plugin/pull/83,17
https://github.com/jenkinsci/vstestrunner-plugin/pull/85,17
https://github.com/jenkinsci/wetest-automation-plugin/pull/5,17
https://github.com/jenkinsci/winrm-client-plugin/pull/10,17
https://github.com/jenkinsci/wsclean-plugin/pull/19,17
https://github.com/jenkinsci/xooa-plugin/pull/3,17
https://github.com/jenkinsci/yet-another-build-visualizer-plugin/pull/32,17
https://github.com/jenkinsci/zerobug-plugin/pull/10,17
https://github.com/jenkinsci/zscaler-iac-scan-plugin/pull/61,17
