Name	Installation Count (June 2025)	Java 25 pull request	Is merged?
hashicorp-vault-pipeline	2353		FALSE
ansible-tower	2351		FALSE
quality-gates	2351		FALSE
aws-java-sdk2-ecr	2340		FALSE
multibranch-build-strategy-extension	2321		FALSE
cppcheck	2257		FALSE
checkstyle	2252		FALSE
environment-script	2241		FALSE
repository-connector	2241		FALSE
miniorange-saml-sp	2237		FALSE
build-discarder	2222		FALSE
pipeline-timeline	2211		FALSE
last-changes	2210		FALSE
depgraph-view	2203		FALSE
dotnet-sdk	2160		FALSE
blackduck-detect	2141		FALSE
blueocean-executor-info	2113		FALSE
byte-buddy-api	2071		FALSE
ec2-fleet	2064		FALSE
reverse-proxy-auth-plugin	2047		FALSE
xml-job-to-job-dsl	2038		FALSE
leastload	2026		FALSE
snyk-security-scanner	2021		FALSE
openJDK-native-plugin	2016		FALSE
build-token-trigger	2013		FALSE
slave-setup	1969		FALSE
git-forensics	1962		FALSE
artifact-manager-s3	1939		FALSE
npm-yarn-wrapper-steps	1939		FALSE
port-allocator	1937		FALSE
cloudbees-credentials	1936		FALSE
release	1931		FALSE
zentimestamp	1924		FALSE
maven-invoker-plugin	1922		FALSE
mstestrunner	1917		FALSE
shelve-project-plugin	1895		FALSE
github-autostatus	1894		FALSE
matrix-combinations-parameter	1853		FALSE
google-metadata-plugin	1851		FALSE
cucumber-testresult-plugin	1850		FALSE
downstream-buildview	1842		FALSE
docker-custom-build-environment	1834		FALSE
mattermost	1833		FALSE
warnings	1818		FALSE
rich-text-publisher-plugin	1812		FALSE
fstrigger	1805		FALSE
chucknorris	1790		FALSE
cmakebuilder	1790		FALSE
global-variable-string-parameter	1790		FALSE
calendar-view	1778		FALSE
project-description-setter	1772		FALSE
text-file-operations	1754		FALSE
urltrigger	1744		FALSE
git-tag-message	1737		FALSE
nuget	1735		FALSE
multi-branch-project-plugin	1725		FALSE
seleniumhtmlreport	1719		FALSE
violations	1710		FALSE
google-chat-notification	1706		FALSE
cron_column	1698		FALSE
github-pr-comment-build	1695		FALSE
workflow-remote-loader	1689		FALSE
jenkins-jira-issue-updater	1686		FALSE
confluence-publisher	1685		FALSE
