plugin_name,install_count,pr_url,is_merged,build_status
multibranch-scan-webhook-trigger,4481,FALSE,,not_in_csv
login-theme,4478,FALSE,,not_in_csv
global-slack-notifier,4444,FALSE,,not_in_csv
ruby-runtime,4420,FALSE,,not_in_csv
plot,4396,FALSE,,not_in_csv
startup-trigger-plugin,4319,FALSE,,not_in_csv
versionnumber,4308,FALSE,,not_in_csv
preSCMbuildstep,4275,FALSE,,not_in_csv
jira-steps,4219,FALSE,,not_in_csv
bitbucket-push-and-pull-request,4115,FALSE,,not_in_csv
docker-compose-build-step,4097,FALSE,,not_in_csv
pipeline-githubnotify-step,4095,FALSE,,not_in_csv
google-login,4040,FALSE,,not_in_csv
date-parameter,3929,FALSE,,not_in_csv
xvfb,3922,FALSE,,not_in_csv
golang,3892,FALSE,,not_in_csv
configuration-as-code-groovy,3885,FALSE,,not_in_csv
JDK_Parameter_Plugin,3871,FALSE,,not_in_csv
backup,3868,FALSE,,not_in_csv
folder-properties,3859,FALSE,,not_in_csv
gitlab-logo,3816,FALSE,,not_in_csv
build-environment,3801,FALSE,,not_in_csv
mina-sshd-api-scp,3787,FALSE,,not_in_csv
bitbucket-build-status-notifier,3697,FALSE,,not_in_csv
PrioritySorter,3695,FALSE,,not_in_csv
nunit,3660,FALSE,,not_in_csv
terraform,3649,FALSE,,not_in_csv
docker-slaves,3627,FALSE,,not_in_csv
pyenv-pipeline,3621,FALSE,,not_in_csv
dependency-track,3612,FALSE,,not_in_csv
database,3605,FALSE,,not_in_csv
junit-attachments,3592,FALSE,,not_in_csv
purge-job-history,3592,FALSE,,not_in_csv
mstest,3585,FALSE,,not_in_csv
nexus-jenkins-plugin,3566,FALSE,,not_in_csv
list-git-branches-parameter,3515,FALSE,,not_in_csv
azure-commons,3414,FALSE,,not_in_csv
categorized-view,3414,FALSE,,not_in_csv
checkmarx,3411,FALSE,,not_in_csv
persistent-parameter,3382,FALSE,,not_in_csv
atlassian-jira-software-cloud,3331,FALSE,,not_in_csv
customizable-header,3317,FALSE,,not_in_csv
versioncolumn,3307,FALSE,,not_in_csv
amazon-ecs,3295,FALSE,,not_in_csv
gitea,3267,FALSE,,not_in_csv
dynamic_extended_choice_parameter,3261,FALSE,,not_in_csv
periodicbackup,3248,FALSE,,not_in_csv
support-core,3237,FALSE,,not_in_csv
mail-watcher-plugin,3215,FALSE,,not_in_csv
claim,3207,FALSE,,not_in_csv
pipeline-aggregator-view,3185,FALSE,,not_in_csv
xcode-plugin,3168,FALSE,,not_in_csv
material-theme,3117,FALSE,,not_in_csv
custom-tools-plugin,3080,FALSE,,not_in_csv
git-push,3044,FALSE,,not_in_csv
bitbucket-pullrequest-builder,3020,FALSE,,not_in_csv
join,2988,FALSE,,not_in_csv
jfrog,2958,FALSE,,not_in_csv
aws-global-configuration,2928,FALSE,,not_in_csv
workflow-cps-global-lib-http,2924,FALSE,,not_in_csv
notification,2922,FALSE,,not_in_csv
managed-scripts,2899,FALSE,,not_in_csv
purge-build-queue-plugin,2891,FALSE,,not_in_csv
publish-over-cifs,2881,FALSE,,not_in_csv
shiningpanda,2855,FALSE,,not_in_csv
folder-auth,2846,FALSE,,not_in_csv
adoptopenjdk,2831,FALSE,,not_in_csv
buildtriggerbadge,2788,FALSE,,not_in_csv
aws-secrets-manager-credentials-provider,2778,FALSE,,not_in_csv
sectioned-view,2756,FALSE,,not_in_csv
maven-info,2748,FALSE,,not_in_csv
opentelemetry-api,2733,FALSE,,not_in_csv
hudson-wsclean-plugin,2730,FALSE,,not_in_csv
next-executions,2704,FALSE,,not_in_csv
webhook-step,2703,FALSE,,not_in_csv
artifactdeployer,2702,https://github.com/jenkinsci/artifactdeployer-plugin/pull/95,TRUE,success
logstash,2686,FALSE,,not_in_csv
xtrigger-api,2659,FALSE,,not_in_csv
maven-artifact-choicelistprovider,2648,FALSE,,not_in_csv
github-checks,2639,FALSE,,not_in_csv
kubernetes-pipeline-devops-steps,2638,FALSE,,not_in_csv
nvm-wrapper,2637,FALSE,,not_in_csv
gitlab-hook,2603,FALSE,,not_in_csv
jira-trigger,2603,FALSE,,not_in_csv
influxdb,2588,FALSE,,not_in_csv
repo,2576,FALSE,,not_in_csv
qy-wechat-notification,2517,FALSE,,not_in_csv
